,Provider_Name,NPI,Medicaid_EP_Hospital_Type,Specialty,Business_Street_Address,Business_City,Business_County,Business_ZIP_Code,Business_State_Territory,Program_Year,Payment_Year,Payment_Year_Number,Payment_Criteria__Medicaid_Only,Payee_Name,Payee_NPI,Disbursement_Amount,Total_Payments,Longitude,Latitude
17,#,#,Physician,PEDIATRIC MEDICINE,#,Los Angeles,Los Angeles,90028.0,California,2013.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-118.435216,34.080947
18,#,#,Nurse Practitioner,UNKNOWN,#,San Mateo,San Mateo,94403.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-122.299498,37.530104
19,#,#,Dentist,UNKNOWN,#,Lomita,Los Angeles,90717.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-118.309831,33.797988
20,#,#,Physicians Assistant practicing in FQHC or RHC led by a PA,PHYSICIAN ASSISTANT,#,Oroville,Butte,95965.0,California,2011.0,2012.0,1.0,AIU,#,#,21250.0,21250.0,-121.585298,39.498046
21,#,#,Physicians Assistant practicing in FQHC or RHC led by a PA,UNKNOWN,#,Anderson,Shasta,96007.0,California,2013.0,2013.0,2.0,MU,#,#,8500.0,29750.0,-122.287729,40.45494
22,#,#,Physician,UROLOGY,#,Los Angeles,Los Angeles,90027.0,California,2011.0,2012.0,1.0,AIU,#,#,21250.0,21250.0,-118.435216,34.080947
23,#,#,Nurse Practitioner,UNKNOWN,#,San Mateo,San Mateo,94403.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-122.299498,37.530104
24,#,#,Dentist,UNKNOWN,#,Inglewood,Los Angeles,90301.0,California,2014.0,2015.0,1.0,AIU,#,#,21250.0,21250.0,-118.359529,33.953551
25,#,#,Dentist,UNKNOWN,#,Beaumont,Riverside,92223.0,California,2015.0,2016.0,1.0,AIU,#,#,21250.0,21250.0,-116.946948,33.932394
26,#,#,Dentist,UNKNOWN,#,Imperial,Imperial,92251.0,California,2015.0,2016.0,1.0,AIU,#,#,21250.0,21250.0,-115.570244,32.824572
27,#,#,Nurse Practitioner,UNKNOWN,#,San Mateo,San Mateo,94403.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-122.299498,37.530104
28,#,#,Dentist,UNKNOWN,#,Lemoore,Kings,93245.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-119.78664,36.301494
29,#,#,Dentist,UNKNOWN,#,Loma Linda,San Bernardino,92354.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-117.262994,34.043201
30,#,#,Physician,FAMILY PRACTICE,#,Anderson,Shasta,96007.0,California,2013.0,2013.0,2.0,MU,#,#,8500.0,29750.0,-122.287729,40.45494
31,#,#,Physician,PEDIATRIC MEDICINE,#,Hoffman Estates,Cook,60169.0,Illinois,2013.0,2014.0,2.0,MU,#,#,8500.0,29750.0,-88.142231,42.06013
32,#,#,Physician,OBSTETRICS/GYNECOLOGY,#,Fillmore,Ventura,93015.0,California,2016.0,2017.0,5.0,MU,#,#,8500.0,55250.0,-118.921978,34.395634
33,#,#,Physician,UNKNOWN,#,Visalia,Tulare,93291.0,California,2016.0,2017.0,2.0,MU,#,#,8500.0,29750.0,-119.383844,36.329554
34,#,#,Physician,UNKNOWN,#,Ventura,Ventura,93003.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-119.239532,34.276312
35,#,#,Physician,UNKNOWN,#,Anaheim,Orange,92801.0,California,2016.0,2017.0,5.0,MU,#,#,8500.0,34000.0,-117.975105,33.847878
36,#,#,Dentist,UNKNOWN,#,Los Angeles,Los Angeles,90027.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-118.435216,34.080947
37,#,#,Nurse Practitioner,UNKNOWN,#,San Mateo,San Mateo,94403.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-122.299498,37.530104
38,#,#,Dentist,UNKNOWN,#,Inglewood,Los Angeles,90301.0,California,2014.0,2015.0,1.0,AIU,#,#,21250.0,21250.0,-118.359529,33.953551
39,#,#,Dentist,UNKNOWN,#,Loma Linda,San Bernardino,92354.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-117.262994,34.043201
40,#,#,Physicians Assistant practicing in FQHC or RHC led by a PA,UNKNOWN,#,Anderson,Shasta,96007.0,California,2014.0,2015.0,3.0,MU,#,#,8500.0,38250.0,-122.287729,40.45494
41,#,#,Dentist,UNKNOWN,#,San Mateo,San Mateo,94403.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-122.299498,37.530104
42,#,#,Nurse Practitioner,UNKNOWN,#,Oroville,Butte,95965.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-121.585298,39.498046
43,#,#,Physicians Assistant practicing in FQHC or RHC led by a PA,PHYSICIAN ASSISTANT,#,Anderson,Shasta,96007.0,California,2013.0,2013.0,2.0,MU,#,#,8500.0,29750.0,-122.287729,40.45494
44,#,#,Physician,UNKNOWN,#,Oxnard,Ventura,93036.0,California,2015.0,2017.0,4.0,MU,#,#,8500.0,55250.0,-119.203645,34.228818
45,#,#,Physician,UNKNOWN,#,Los Angeles,Los Angeles,90509.0,California,2013.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-118.304152,33.83151
46,#,#,Physician,INTERNAL MEDICINE,#,Quincy,Plumas,95971.0,California,2014.0,2015.0,2.0,MU,#,#,8500.0,29750.0,-120.961353,39.939064
47,#,#,Physician,UNKNOWN,#,Los Angeles,Los Angeles,90095.0,California,2016.0,2017.0,2.0,MU,#,#,8500.0,29750.0,-118.446169,34.065478
48,#,#,Physician,GENERAL SURGERY,#,Apple Valley,San Bernardino,92307.0,California,2017.0,2018.0,5.0,MU,#,#,8500.0,55250.0,-117.242799,34.53654
49,#,#,Dentist,UNKNOWN,#,MORENO VALLEY,Riverside,92553.0,California,2014.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-117.249871,33.91773
50,#,#,Dentist,UNKNOWN,#,Loma Linda,San Bernardino,92354.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-117.262994,34.043201
51,#,#,Physician,UNKNOWN,#,Alhambra,Los Angeles,91801.0,California,2014.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-118.127368,34.095858
52,#,#,Nurse Practitioner,UNKNOWN,#,Placerville,El Dorado,95667.0,California,2017.0,2018.0,5.0,MU,#,#,8500.0,55250.0,-120.827707,38.706565
53,#,#,Physicians Assistant practicing in FQHC or RHC led by a PA,PHYSICIAN ASSISTANT,#,Oroville,Butte,95965.0,California,2014.0,2015.0,2.0,MU,#,#,8500.0,29750.0,-121.585298,39.498046
54,#,#,Dentist,UNKNOWN,#,Loma Linda,San Bernardino,92354.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-117.262994,34.043201
55,#,#,Nurse Practitioner,UNKNOWN,#,Calexico,Imperial,92231.0,California,2012.0,2013.0,1.0,AIU,#,#,21250.0,21250.0,-115.505205,32.679158
56,#,#,Nurse Practitioner,NURSE PRACTITIONER,#,Anderson,Shasta,96007.0,California,2014.0,2015.0,3.0,MU,#,#,8500.0,38250.0,-122.287729,40.45494
57,#,#,Physician,PSYCHIATRY,#,Colusa,Colusa,95932.0,California,2013.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-122.001684,39.204894
58,#,#,Dentist,UNKNOWN,#,MORENO VALLEY,Riverside,92553.0,California,2014.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-117.249871,33.91773
59,#,#,Physician,FAMILY PRACTICE,#,Eldridge,Sonoma,95431.0,California,2011.0,2013.0,1.0,AIU,#,#,21250.0,21250.0,-122.51405,38.343203
60,#,#,Dentist,UNKNOWN,#,Sacramento,Sacramento,95826.0,California,2015.0,2016.0,1.0,AIU,#,#,21250.0,21250.0,-121.376481,38.55633
61,#,#,Physician,UNKNOWN,#,Berkeley,Alameda,94704.0,California,2016.0,2017.0,4.0,MU,#,#,8500.0,46750.0,-122.268711,37.87045
62,#,#,Nurse Practitioner,UNKNOWN,#,San Jose,Santa Clara,95128.0,California,2016.0,2017.0,4.0,MU,#,#,8500.0,46750.0,-121.933911,37.31439
63,#,#,Physicians Assistant practicing in FQHC or RHC led by a PA,PHYSICIAN ASSISTANT,#,Goshen,Tulare,93291.0,California,2012.0,2013.0,2.0,MU,#,#,8500.0,29750.0,-119.423991,36.35225
64,#,#,Physician,PSYCHIATRY,#,Oakland,Alameda,94606.0,California,2013.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-122.242663,37.780389
65,#,#,Dentist,UNKNOWN,#,Antioch,Contra Costa,94509.0,California,2015.0,2016.0,1.0,AIU,#,#,21250.0,21250.0,-121.805371,37.98382
66,#,#,Physician,UNKNOWN,#,Loma Linda,San Bernardino,92350.0,California,2014.0,2015.0,2.0,MU,#,#,8500.0,29750.0,-117.264111,34.05053
67,#,#,Dentist,UNKNOWN,#,Orange,Orange,92868.0,California,2013.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-117.867453,33.779297
68,#,#,Physician,UNKNOWN,#,San Diego,San Diego,92115.0,California,2014.0,2015.0,3.0,MU,#,#,8500.0,38250.0,-117.077811,32.75839
69,#,#,Physician,PEDIATRIC MEDICINE,#,San Rafael,Marin,94903.0,California,2012.0,2013.0,1.0,AIU,#,#,21250.0,21250.0,-122.546361,38.00709
70,#,#,Physician,FAMILY PRACTICE,#,San Francisco,San Francisco,94110.0,California,2011.0,2012.0,1.0,AIU,#,#,21250.0,21250.0,-122.405371,37.75529
71,#,#,Certified Nurse - Midwife,CERTIFIED NURSE MIDWIFE,#,San Francisco,San Francisco,94110.0,California,2011.0,2012.0,1.0,AIU,#,#,21250.0,21250.0,-122.405371,37.75529
72,#,#,Physician,INTERNAL MEDICINE,#,Oakland,Alameda,94601.0,California,2011.0,2012.0,1.0,AIU,#,#,21250.0,21250.0,-122.22464,37.780079
73,#,#,Dentist,UNKNOWN,#,Orange,Orange,92868.0,California,2014.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-117.867453,33.779297
74,#,#,Physician,OBSTETRICS/GYNECOLOGY,#,Dallas,Dallas,75235.0,Texas,2011.0,2012.0,1.0,AIU,#,#,21250.0,21250.0,-96.848593,32.82796
75,#,#,Nurse Practitioner,UNKNOWN,#,Riverbank,Stanislaus,95367.0,California,2014.0,2014.0,3.0,MU,#,#,8500.0,38250.0,-120.949001,37.7331
76,#,#,Dentist,UNKNOWN,#,Santa Ana,Orange,92703.0,California,2015.0,2016.0,1.0,AIU,#,#,21250.0,21250.0,-117.885521,33.74833
77,#,#,Nurse Practitioner,UNKNOWN,#,Oakland,Alameda,94601.0,California,2016.0,2017.0,3.0,MU,#,#,8500.0,38250.0,-122.22464,37.780079
78,#,#,Physician,OPHTHALMOLOGY,#,San Francisco,San Francisco,94110.0,California,2011.0,2012.0,1.0,AIU,#,#,21250.0,21250.0,-122.405371,37.75529
79,#,#,Dentist,UNKNOWN,#,Tustin,Orange,92780.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-117.814821,33.74451
80,#,#,Dentist,UNKNOWN,#,Escondido,San Diego,92025.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-117.069901,33.12679
81,#,#,Certified Nurse - Midwife,UNKNOWN,#,Sacramento,Sacramento,95825.0,California,2015.0,2016.0,1.0,AIU,#,#,21250.0,21250.0,-121.419994,38.591709
82,#,#,Nurse Practitioner,UNKNOWN,#,SANTA ANA,Orange,92706.0,California,2012.0,2013.0,1.0,AIU,#,#,21250.0,21250.0,-117.890937,33.760038
83,#,#,Physician,UNKNOWN,#,Pasadena,Los Angeles,91105.0,California,2013.0,2014.0,2.0,MU,#,#,8500.0,29750.0,-118.150376,34.131207
84,#,#,Physician,OBSTETRICS/GYNECOLOGY,#,Merced,Merced,95341.0,California,2014.0,2015.0,3.0,MU,#,#,8500.0,38250.0,-120.496153,37.288239
85,#,#,Physician,UNKNOWN,#,Los Angeles,Los Angeles,90033.0,California,2015.0,2016.0,1.0,AIU,#,#,21250.0,21250.0,-118.217221,34.05066
86,#,#,Nurse Practitioner,UNKNOWN,#,Sacramento,Sacramento,95816.0,California,2016.0,2017.0,2.0,MU,#,#,8500.0,29750.0,-121.466661,38.56557
87,#,#,Physician,UNKNOWN,#,San Francisco,San Francisco,94110.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-122.405371,37.75529
88,#,#,Physician,UNKNOWN,#,Paramount,Los Angeles,90723.0,California,2013.0,2013.0,1.0,AIU,#,#,21250.0,21250.0,-118.159511,33.88254
89,#,#,Physicians Assistant practicing in FQHC or RHC led by a PA,UNKNOWN,#,San Luis Obispo,San Luis Obispo,93405.0,California,2017.0,2018.0,3.0,MU,#,#,8500.0,38250.0,-120.665311,35.29291
90,#,#,Physician,INTERNAL MEDICINE,#,Escondido,San Diego,92025.0,California,2011.0,2012.0,1.0,AIU,#,#,21250.0,21250.0,-117.068071,33.12608
91,#,#,Dentist,UNKNOWN,#,Henderson,Clark,89014.0,Nevada,2015.0,2015.0,1.0,AIU,#,#,21250.0,21250.0,-115.062623,36.05991
92,#,#,Physician,UNKNOWN,#,Bakersfield,Kern,93306.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-118.969811,35.38221
93,#,#,Physician,UNKNOWN,#,Fresno,Fresno,93701.0,California,2017.0,2018.0,3.0,MU,#,#,8500.0,38250.0,-119.783261,36.7464
94,#,#,Physician,PULMONARY DISEASE,#,Los Angeles,Los Angeles,90028.0,California,2011.0,2012.0,1.0,AIU,#,#,21250.0,21250.0,-118.329806,34.097958
95,#,#,Physician,FAMILY PRACTICE,#,Ventura,Ventura,93003.0,California,2015.0,2017.0,4.0,MU,#,#,8500.0,46750.0,-119.251951,34.27648
96,#,#,Nurse Practitioner,UNKNOWN,#,Los Angeles,Los Angeles,90017.0,California,2014.0,2015.0,2.0,MU,#,#,8500.0,29750.0,-118.257401,34.0563
97,#,#,Dentist,UNKNOWN,#,Fort Jones,Siskiyou,96032.0,California,2013.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-122.982874,41.598726
98,#,#,Nurse Practitioner,UNKNOWN,#,Moreno Valley,Riverside,92555.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-117.204988,33.910079
99,#,#,Physician,UNKNOWN,#,San Mateo,San Mateo,94403.0,California,2013.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-122.299071,37.53113
100,#,#,Physician,UNKNOWN,#,Martinez,Contra Costa,94553.0,California,2017.0,2018.0,4.0,MU,#,#,8500.0,46750.0,-122.132641,38.00674
101,#,#,Physician,PEDIATRIC MEDICINE,#,Turlock,Stanislaus,95380.0,California,2013.0,2014.0,2.0,MU,#,#,8500.0,29750.0,-120.863051,37.49233
102,#,#,Physician,UNKNOWN,#,SAN DIEGO,San Diego,92123.0,California,2017.0,2018.0,4.0,MU,#,#,8500.0,46750.0,-117.151331,32.7981
103,#,#,Dentist,UNKNOWN,#,Los Angeles,Los Angeles,90022.0,California,2016.0,2016.0,1.0,AIU,#,#,21250.0,21250.0,-118.156836,34.020333
104,#,#,Physician,UNKNOWN,#,Los Angeles,Los Angeles,90045.0,California,2015.0,2016.0,1.0,AIU,#,#,21250.0,21250.0,-118.420891,33.96009
105,#,#,Physician,UNKNOWN,#,San Jose,Santa Clara,95125.0,California,2016.0,2017.0,2.0,MU,#,#,8500.0,29750.0,-121.914211,37.3018
106,#,#,Certified Nurse - Midwife,UNKNOWN,#,Concord,Contra Costa,94520.0,California,2012.0,2013.0,1.0,AIU,#,#,21250.0,29750.0,-122.035001,37.97903
107,#,#,Nurse Practitioner,UNKNOWN,#,SAN DIEGO,San Diego,92123.0,California,2011.0,2012.0,1.0,AIU,#,#,21250.0,21250.0,-117.122761,32.81208
108,#,#,Physician,UNKNOWN,#,Needles,San Bernardino,92363.0,California,2013.0,2015.0,2.0,MU,#,#,8500.0,29750.0,-114.622921,34.8302
109,#,#,Dentist,UNKNOWN,#,Modesto,Stanislaus,95355.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-120.976181,37.67996
110,#,#,Dentist,UNKNOWN,#,Petaluma,Sonoma,94954.0,California,2014.0,2015.0,2.0,MU,#,#,8500.0,29750.0,-122.660401,38.26843
111,#,#,Dentist,UNKNOWN,#,Orange,Orange,92868.0,California,2013.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-117.867453,33.779297
112,#,#,Dentist,UNKNOWN,#,Glendale,Los Angeles,91205.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-118.240391,34.13675
113,#,#,Nurse Practitioner,NURSE PRACTITIONER,#,Ventura,Ventura,93004.0,California,2012.0,2012.0,1.0,AIU,#,#,21250.0,21250.0,-119.159071,34.29357
114,#,#,Nurse Practitioner,UNKNOWN,#,Fresno,Fresno,93727.0,California,2013.0,2013.0,2.0,MU,#,#,8500.0,29750.0,-119.693561,36.7366
115,#,#,Physician,UNKNOWN,#,Los Angeles,Los Angeles,90033.0,California,2013.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-118.211836,34.051571
116,#,#,Physicians Assistant practicing in FQHC or RHC led by a PA,UNKNOWN,#,Oakdale,Stanislaus,95361.0,California,2016.0,2016.0,1.0,AIU,#,#,21250.0,21250.0,-120.862731,37.75869
117,#,#,Physician,UNKNOWN,#,Sacramento,Sacramento,95816.0,California,2015.0,2017.0,3.0,MU,#,#,8500.0,25500.0,-121.466661,38.56557
118,#,#,Physicians Assistant practicing in FQHC or RHC led by a PA,UNKNOWN,#,Oakland,Alameda,94601.0,California,2014.0,2015.0,1.0,AIU,#,#,21250.0,21250.0,-122.22464,37.780079
119,#,#,Physicians Assistant practicing in FQHC or RHC led by a PA,UNKNOWN,#,Orosi,Tulare,93647.0,California,2016.0,2017.0,6.0,MU,#,#,8500.0,63750.0,-119.291251,36.53057
120,#,#,Physicians Assistant practicing in FQHC or RHC led by a PA,UNKNOWN,#,Visalia,Tulare,93291.0,California,2016.0,2017.0,4.0,MU,#,#,8500.0,46750.0,-119.323787,36.338456
121,#,#,Dentist,UNKNOWN,#,Paramount,Los Angeles,90723.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-118.160491,33.89035
122,#,#,Physicians Assistant practicing in FQHC or RHC led by a PA,UNKNOWN,#,San Marcos,San Diego,92069.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-117.157071,33.14021
123,#,#,Dentist,UNKNOWN,#,ONTARIO,San Bernardino,91762.0,California,2015.0,2016.0,1.0,AIU,#,#,21250.0,21250.0,-117.653881,34.06909
124,#,#,Physician,OPTOMETRY,#,San Diego,San Diego,92105.0,California,2016.0,2017.0,4.0,MU,#,#,8500.0,46750.0,-117.101351,32.75054
125,#,#,Physician,UNKNOWN,#,San Bernardino,San Bernardino,92408.0,California,2013.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-117.259844,34.102716
126,#,#,Physician,UNKNOWN,#,Los Angeles,Los Angeles,90017.0,California,2017.0,2018.0,2.0,MU,#,#,8500.0,29750.0,-118.263821,34.05316
127,#,#,Physician,UNKNOWN,#,Los Angeles,Los Angeles,90028.0,California,2017.0,2018.0,2.0,MU,#,#,8500.0,29750.0,-118.332901,34.10051
128,#,#,Dentist,UNKNOWN,#,Valley Center,San Diego,92082.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-116.954196,33.277142
129,#,#,Nurse Practitioner,UNKNOWN,#,PALM SPRINGS,San Diego,92004.0,California,2015.0,2016.0,1.0,AIU,#,#,21250.0,21250.0,-116.329051,33.19398
130,#,#,Physician,UNKNOWN,#,Los Angeles,Los Angeles,90033.0,California,2013.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-118.208281,34.05963
131,#,#,Physician,UNKNOWN,#,San Bernardino,San Bernardino,92405.0,California,2011.0,2012.0,1.0,AIU,#,#,21250.0,21250.0,-117.299451,34.13631
132,#,#,Physician,UNKNOWN,#,San Jose,Santa Clara,95128.0,California,2015.0,2016.0,1.0,AIU,#,#,21250.0,21250.0,-121.933911,37.31439
133,#,#,Nurse Practitioner,UNKNOWN,#,Oakland,Alameda,94609.0,California,2013.0,2013.0,1.0,AIU,#,#,21250.0,21250.0,-122.267631,37.83706
134,#,#,Physician,UNKNOWN,#,Los Angeles,Los Angeles,90033.0,California,2013.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-118.208281,34.05963
135,#,#,Physician,UNKNOWN,#,Los Angeles,Los Angeles,90033.0,California,2014.0,2015.0,1.0,AIU,#,#,21250.0,21250.0,-118.208281,34.05963
136,#,#,Physician,UNKNOWN,#,Torrance,Los Angeles,90502.0,California,2015.0,2016.0,2.0,MU,#,#,0.0,29750.0,-118.294551,33.83154
137,#,#,Physician,UNKNOWN,#,Los Angeles,Los Angeles,90033.0,California,2013.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-118.208281,34.05963
138,#,#,Physician,UNKNOWN,#,Van Nuys,Los Angeles,91406.0,California,2016.0,2016.0,1.0,AIU,#,#,21250.0,21250.0,-118.490941,34.22052
139,#,#,Physicians Assistant practicing in FQHC or RHC led by a PA,UNKNOWN,#,Visalia,Tulare,93291.0,California,2016.0,2017.0,4.0,MU,#,#,8500.0,46750.0,-119.288631,36.33223
140,#,#,Physician,UNKNOWN,#,San Diego,San Diego,92113.0,California,2015.0,2016.0,1.0,AIU,#,#,0.0,21250.0,-117.146861,32.70123
141,#,#,Nurse Practitioner,UNKNOWN,#,Los Angeles,Los Angeles,90007.0,California,2013.0,2013.0,2.0,MU,#,#,8500.0,29750.0,-118.273882,34.02878
142,#,#,Nurse Practitioner,UNKNOWN,#,San Francisco,San Francisco,94110.0,California,2014.0,2015.0,1.0,AIU,#,#,21250.0,21250.0,-122.405371,37.75529
143,#,#,Nurse Practitioner,UNKNOWN,#,Crescent City,Del Norte,95531.0,California,2016.0,2017.0,2.0,MU,#,#,8500.0,29750.0,-124.198541,41.77335
144,#,#,Nurse Practitioner,UNKNOWN,#,Novato,Marin,94945.0,California,2014.0,2015.0,3.0,MU,#,#,8500.0,38250.0,-122.562731,38.0963
145,#,#,Nurse Practitioner,UNKNOWN,#,Torrance,Los Angeles,90502.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-118.294551,33.83154
146,#,#,Physician,UNKNOWN,#,SAN BERNARDINO,San Bernardino,92410.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-117.298694,34.09684
147,#,#,Nurse Practitioner,UNKNOWN,#,Los Angeles,Los Angeles,90059.0,California,2015.0,2016.0,2.0,MU,#,#,8500.0,29750.0,-118.239166,33.923643
148,#,#,Nurse Practitioner,UNKNOWN,#,Fremont,Alameda,94538.0,California,2016.0,2017.0,1.0,MU,#,#,21250.0,21250.0,-121.977071,37.54914
149,#,#,Nurse Practitioner,UNKNOWN,#,San Rafael,Marin,94901.0,California,2015.0,2016.0,1.0,AIU,#,#,21250.0,21250.0,-122.525231,37.97138
150,#,#,Nurse Practitioner,UNKNOWN,#,Bakersfield,Kern,93301.0,California,2016.0,2017.0,2.0,MU,#,#,8500.0,29750.0,-119.032801,35.37218
151,#,#,Dentist,UNKNOWN,#,Palm Springs,Riverside,92262.0,California,2017.0,2018.0,2.0,MU,#,#,8500.0,29750.0,-116.528801,33.84449
152,#,#,Physicians Assistant practicing in FQHC or RHC led by a PA,UNKNOWN,#,Santa Maria,Santa Barbara,93454.0,California,2016.0,2017.0,2.0,MU,#,#,8500.0,29750.0,-120.431562,34.937464
153,#,#,Nurse Practitioner,UNKNOWN,#,Oakland,Alameda,94607.0,California,2016.0,2016.0,1.0,AIU,#,#,21250.0,21250.0,-122.270941,37.79943
154,#,#,Nurse Practitioner,UNKNOWN,#,San Francisco,San Francisco,94133.0,California,2016.0,2017.0,2.0,MU,#,#,8500.0,17000.0,-122.408731,37.79994
155,#,#,Physician,UNKNOWN,#,Torrance,Los Angeles,90502.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-118.294551,33.83154
156,#,#,Physician,UNKNOWN,#,Los Angeles,Los Angeles,90033.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-118.208281,34.05963
157,#,#,Physician,UNKNOWN,#,Los Angeles,Los Angeles,90033.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-118.208281,34.05963
